DEPTH,EPOCHS,LEARNING_RATE,BATCH_SIZE,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Validation Precision,Validation Recall,Validation F1 Score
50,10,0.1,16,0.026459919,3.673668623,0.026348736,3.683467865,0.000694335,0.026348737,0.001353016
50,10,0.1,32,0.028764492,3.661681414,0.028283633,3.669351339,0.000799964,0.028283633,0.001555921
50,10,0.1,64,0.050487231,3.583067417,0.050762575,3.561462402,0.0273005,0.050762577,0.0257358
50,10,0.1,128,0.05264955,3.5303092,0.055201456,3.544074297,0.054388531,0.055201457,0.028572275
50,10,0.1,256,0.215548754,2.608024836,0.16992943,2.981736422,0.180836011,0.169929433,0.132305762
50,10,0.001,16,0.988036156,0.048157204,0.977179587,0.133303612,0.977663827,0.977179604,0.977078914
50,10,0.001,32,0.990070403,0.034117077,0.975586176,0.11725001,0.977077574,0.97558616,0.975702588
50,10,0.001,64,0.992360771,0.023448911,0.9797405,0.077148736,0.980386791,0.979740496,0.979842933
50,10,0.001,128,0.994323909,0.016535114,0.981504679,0.06015601,0.98188332,0.981504667,0.98149663
50,10,0.001,256,0.997681201,0.008856634,0.980537236,0.062037729,0.981556815,0.980537218,0.980500653
50,10,0.0001,16,0.99810797,0.007692068,0.986967921,0.042531259,0.987190684,0.986967903,0.986992359
50,10,0.0001,32,0.998193324,0.008677847,0.987024784,0.039330911,0.987068996,0.987024812,0.987033581
50,10,0.0001,64,0.997652769,0.013022371,0.98355341,0.047448579,0.983803348,0.98355338,0.983581724
50,10,0.0001,128,0.995988309,0.022056663,0.983439565,0.048947014,0.983749657,0.983439563,0.98349101
50,10,0.0001,256,0.993356586,0.036654323,0.980764866,0.060349528,0.980956904,0.980764853,0.980746776
50,10,1.00E-07,16,0.35681057,2.735082626,0.375426829,2.687450886,0.360650239,0.375426815,0.353460499
50,10,1.00E-07,32,0.26539582,2.949305773,0.280559987,2.912793159,0.274897638,0.280559982,0.264859377
50,10,1.00E-07,64,0.127903834,3.304063797,0.135841116,3.275721788,0.142456473,0.135841111,0.11725441
50,10,1.00E-07,128,0.075012445,3.577343464,0.080184385,3.562585354,0.068519656,0.080184384,0.065914814
50,10,1.00E-07,256,0.063503802,3.781246901,0.065615751,3.773735046,0.051816101,0.065615752,0.036924374
50,25,0.1,16,0.026986273,3.672126293,0.026804006,3.670323372,0.028999081,0.026804006,0.001507207
50,25,0.1,32,0.027526852,3.66222477,0.026974732,3.665402412,0.051648914,0.026974733,0.001847169
50,25,0.1,64,0.028209688,3.654260397,0.024584567,3.658551693,0.000604401,0.024584566,0.001179797
50,25,0.1,128,0.052493066,3.53306365,0.052697472,3.540193081,0.027259974,0.052697473,0.027161318
50,25,0.1,256,0.053005192,3.525053024,0.054689277,3.524462461,0.027310483,0.054689278,0.027851218
50,25,0.001,16,0.994338155,0.034777485,0.980764866,0.205218643,0.981286222,0.980764853,0.980742151
50,25,0.001,32,0.995305479,0.020887274,0.981163204,0.157068193,0.981717381,0.981163214,0.981147745
50,25,0.001,64,0.996201694,0.015222295,0.979399025,0.149892345,0.980787803,0.979399044,0.979512516
50,25,0.001,128,0.996685386,0.012233481,0.985260665,0.07199882,0.985765266,0.985260642,0.985276153
50,25,0.001,256,0.994921386,0.016977521,0.983211935,0.070282027,0.983347748,0.983211928,0.983186288
50,25,0.0001,16,0.999160707,0.003045026,0.987138629,0.052353337,0.987315595,0.98713863,0.987136875
50,25,0.0001,32,0.999644339,0.002088937,0.988219917,0.042275153,0.988359136,0.988219895,0.988238452
50,25,0.0001,64,0.998677015,0.004366964,0.985715926,0.044689085,0.985794952,0.985715912,0.985702255
50,25,0.0001,128,0.999573231,0.003117801,0.98804915,0.03728101,0.988251492,0.988049169,0.988086268
50,25,0.0001,256,0.999715507,0.006191737,0.986398816,0.038205605,0.986532657,0.986398816,0.986428889
50,25,1.00E-07,16,0.747009039,1.511389613,0.746357858,1.497408271,0.73944626,0.746357842,0.738793837
50,25,1.00E-07,32,0.614453375,2.027179718,0.620361924,2.00950408,0.621496786,0.620361939,0.605703576
50,25,1.00E-07,64,0.458169132,2.508084774,0.463635325,2.494442701,0.452794164,0.463635329,0.443428221
50,25,1.00E-07,128,0.251013577,2.982074022,0.255235612,2.967018843,0.235378404,0.255235602,0.228357013
50,25,1.00E-07,256,0.108642153,3.333406448,0.115467787,3.32481575,0.155331692,0.11546779,0.104832788
50,40,0.1,16,0.027356142,3.673665762,0.027430002,3.664044142,0.027208898,0.027430002,0.001679649
50,40,0.1,32,0.033089124,3.639734745,0.033177782,3.631750584,0.027228627,0.033177783,0.010703309
50,40,0.1,64,0.049733266,3.556662083,0.048144776,3.56370759,0.05054781,0.048144776,0.02495937
50,40,0.1,128,0.052222777,3.531992435,0.05412019,3.534217834,0.05063601,0.054120191,0.028098333
50,40,0.1,256,0.101728432,3.321227312,0.100273162,3.330882072,0.103782158,0.100273162,0.083816079
50,40,0.001,16,0.996159017,0.030084269,0.981789231,0.292729497,0.982021664,0.98178921,0.981764137
50,40,0.001,32,0.996799231,0.02046576,0.982984304,0.174553603,0.98319649,0.982984293,0.982968951
50,40,0.001,64,0.997339785,0.01215289,0.98469156,0.12709111,0.984914477,0.984691555,0.984702264
50,40,0.001,128,0.997396708,0.010037559,0.979854286,0.136040449,0.980588188,0.979854314,0.979731318
50,40,0.001,256,0.999502122,0.00207363,0.989301145,0.050490998,0.989443459,0.989301161,0.989324648
50,40,0.0001,16,0.999573231,0.001640201,0.975586176,0.117501624,0.977244011,0.97558616,0.975563431
50,40,0.0001,32,0.999758184,0.000945447,0.987536967,0.050305735,0.987617043,0.987536991,0.987535303
50,40,0.0001,64,0.999985754,0.00025222,0.98827678,0.041064788,0.988323145,0.988276804,0.98827603
50,40,0.0001,128,1,0.000298389,0.988788962,0.03722956,0.988837428,0.988788982,0.988792194
50,40,0.0001,256,1,0.001141313,0.98804915,0.034439497,0.988081924,0.988049169,0.988039215
50,40,1.00E-07,16,0.832975328,0.930339932,0.828647852,0.936253905,0.826017621,0.828647849,0.825949764
50,40,1.00E-07,32,0.764079928,1.404013276,0.759105384,1.400910735,0.754779872,0.759105395,0.752233815
50,40,1.00E-07,64,0.620741189,2.048635483,0.621329367,2.037870407,0.621429523,0.621329388,0.607449697
50,40,1.00E-07,128,0.450601041,2.555212498,0.451058507,2.550813198,0.428390821,0.451058502,0.426628832
50,40,1.00E-07,256,0.197282881,3.119817257,0.203562483,3.109159708,0.210796838,0.203562486,0.185372144
50,50,0.1,16,0.0261185,3.674328804,0.028340543,3.674635887,0.027262609,0.028340542,0.001669666
50,50,0.1,32,0.04502454,3.584360361,0.043364443,3.585419178,0.051621629,0.043364443,0.022376989
50,50,0.1,64,0.053005192,3.535542488,0.054234009,3.538688421,0.027306783,0.054234009,0.027639494
50,50,0.1,128,0.051625293,3.583304167,0.05104712,3.540839434,0.040790247,0.05104712,0.026667956
50,50,0.1,256,0.026915144,3.64520669,0.028738903,3.645858288,0.027285304,0.028738903,0.001713189
50,50,0.001,16,0.997226,0.023331689,0.984350085,0.256570876,0.984579828,0.984350102,0.984310735
50,50,0.001,32,0.99699837,0.018479438,0.984976113,0.231314212,0.985253881,0.984976098,0.984972786
50,50,0.001,64,0.997794986,0.011711738,0.984350085,0.184742212,0.98466566,0.984350102,0.984345105
50,50,0.001,128,0.997866154,0.009592958,0.982642829,0.145687178,0.982989148,0.982642841,0.982649655
50,50,0.001,256,1,4.28E-06,0.990780771,0.043368168,0.990808061,0.990780788,0.990776776
50,50,0.0001,16,0.9994452,0.002066186,0.988219917,0.060989238,0.988258671,0.988219895,0.988223987
50,50,0.0001,32,0.999359846,0.00304409,0.985089898,0.069824502,0.985237564,0.985089916,0.985020507
50,50,0.0001,64,1,0.000141737,0.988845885,0.044321716,0.988878886,0.988845891,0.988847321
50,50,0.0001,128,1,0.000125329,0.989130437,0.037539113,0.989186342,0.989130435,0.989139904
50,50,0.0001,256,1,0.000436165,0.988390625,0.035156719,0.988454803,0.988390621,0.988397009
50,50,1.00E-07,16,0.86808449,0.734689474,0.864841819,0.742982805,0.863213824,0.864841794,0.86285963
50,50,1.00E-07,32,0.80950278,1.094004631,0.807762325,1.100596786,0.80433583,0.807762349,0.802540518
50,50,1.00E-07,64,0.726310551,1.617148519,0.725756884,1.618310809,0.720034739,0.725756886,0.717580975
50,50,1.00E-07,128,0.520307302,2.300973892,0.518096983,2.297024965,0.517563613,0.518096972,0.501041998
50,50,1.00E-07,256,0.242606163,3.018460035,0.246699288,3.013040781,0.25164535,0.246699294,0.228939258
101,10,0.1,16,0.026516821,3.672984123,0.025950376,3.667767763,0.000673422,0.025950376,0.001312777
101,10,0.1,32,0.026915144,3.662494898,0.028795812,3.671426535,0.027285304,0.028795812,0.001826275
101,10,0.1,64,0.051867131,3.546452999,0.043307535,3.606918812,0.053225236,0.043307535,0.020812748
101,10,0.1,128,0.037755176,3.613741636,0.028681993,3.647315025,0.026124754,0.028681994,0.00234108
101,10,0.1,256,0.053716481,3.523723841,0.055884361,3.517053127,0.055688075,0.055884361,0.030153074
101,10,0.001,16,0.988946557,0.045913853,0.976724327,0.142802805,0.977504157,0.976724334,0.976648016
101,10,0.001,32,0.98978591,0.035761077,0.978260875,0.107763171,0.97881164,0.97826087,0.978215307
101,10,0.001,64,0.99056834,0.029015234,0.975927591,0.112067766,0.976737009,0.975927612,0.975768025
101,10,0.001,128,0.992417693,0.023191079,0.978545427,0.075736217,0.979434111,0.978488504,0.978442988
101,10,0.001,256,0.995490432,0.013706588,0.982529044,0.058939766,0.982789413,0.982472115,0.98246183
101,10,0.0001,16,0.997595847,0.00876491,0.981846094,0.058708172,0.982673029,0.981846119,0.981937406
101,10,0.0001,32,0.997837663,0.008848615,0.985431373,0.049365886,0.985548823,0.985431368,0.985426387
101,10,0.0001,64,0.998079538,0.011621126,0.98469156,0.04607138,0.98492869,0.984691555,0.984690069
101,10,0.0001,128,0.997097969,0.019028846,0.983268857,0.051162712,0.983316472,0.983268837,0.983188826
101,10,0.0001,256,0.994010925,0.032916401,0.980821788,0.061963424,0.980986762,0.980821762,0.980793582
101,10,1.00E-07,16,0.408094466,2.594274282,0.426872283,2.549909592,0.410832165,0.426872297,0.402120918
101,10,1.00E-07,32,0.238309979,3.012044191,0.249886185,2.973924637,0.264674546,0.249886183,0.231765767
101,10,1.00E-07,64,0.117519028,3.331072092,0.123207375,3.300992012,0.139573839,0.123207375,0.109296199
101,10,1.00E-07,128,0.070958108,3.580959797,0.077964947,3.556113005,0.06836828,0.07813567,0.058452154
101,10,1.00E-07,256,0.028423075,3.917135477,0.030161621,3.897684336,0.070447569,0.030161621,0.01405243
101,25,0.1,16,0.027085852,3.673587084,0.026007283,3.686090708,0.000676379,0.026007284,0.001318468
101,25,0.1,32,0.027683334,3.662621975,0.028283633,3.67062521,0.000799964,0.028283633,0.001555921
101,25,0.1,64,0.052094743,3.551211834,0.050136581,3.557050467,0.054374753,0.050136581,0.026206035
101,25,0.1,128,0.052421935,3.53254199,0.054063283,3.535000324,0.050635912,0.054063282,0.027987324
101,25,0.1,256,0.053033642,3.529711723,0.051616207,3.530228853,0.054308175,0.051616208,0.027417616
101,25,0.001,16,0.994636893,0.032888729,0.984065533,0.182792738,0.984466844,0.984065559,0.984037723
101,25,0.001,32,0.994878709,0.024295622,0.981390834,0.153487325,0.9815428,0.981390849,0.981270829
101,25,0.001,64,0.996144831,0.015840674,0.980594099,0.131974548,0.980942481,0.980594127,0.980544736
101,25,0.001,128,0.995134771,0.018419918,0.983610272,0.087210841,0.983721787,0.983610289,0.983463427
101,25,0.001,256,0.993683755,0.020412685,0.983382642,0.065555677,0.983533438,0.983382654,0.983379185
101,25,0.0001,16,0.998733878,0.004747781,0.986228108,0.055571727,0.986282057,0.98622809,0.986199304
101,25,0.0001,32,0.999388278,0.002448791,0.978260875,0.086108565,0.979660728,0.97826087,0.97832301
101,25,0.0001,64,1,0.000557251,0.988390625,0.040589742,0.988458535,0.988390621,0.988382003
101,25,0.0001,128,0.999957323,0.001402731,0.987536967,0.041847635,0.987654519,0.987593899,0.987584951
101,25,0.0001,256,0.999914646,0.004885567,0.986284971,0.041871432,0.986357366,0.98622809,0.986241964
101,25,1.00E-07,16,0.747876823,1.421436429,0.75068289,1.409891725,0.744560514,0.750682905,0.74287287
101,25,1.00E-07,32,0.640130877,1.941565514,0.637662172,1.929576755,0.628454589,0.63766219,0.626640032
101,25,1.00E-07,64,0.467358977,2.427037477,0.469553828,2.415230036,0.46307566,0.469553836,0.451934164
101,25,1.00E-07,128,0.250985146,2.987062454,0.25586161,2.97580719,0.257928915,0.255861598,0.237577041
101,25,1.00E-07,256,0.112255491,3.474316835,0.117516503,3.465879202,0.115309963,0.117459595,0.099973057
101,40,0.1,16,0.026132727,3.674126387,0.027202368,3.677598715,0.000739969,0.027202367,0.001440746
101,40,0.1,32,0.026701758,3.66342473,0.027600728,3.665757418,0.000761844,0.027600728,0.00148276
101,40,0.1,64,0.052379258,3.537238121,0.053778738,3.54268384,0.027283447,0.053778739,0.027565302
101,40,0.1,128,0.026573725,3.649296999,0.027373094,3.647969484,0.024069618,0.027373094,0.001885993
101,40,0.1,256,0.053389288,3.523322105,0.054006375,3.522954702,0.027188244,0.054006374,0.027927687
101,40,0.001,16,0.997055292,0.022911878,0.979797423,0.324471354,0.980834181,0.979797405,0.979843217
101,40,0.001,32,0.997169077,0.016918633,0.97905761,0.276384532,0.980018757,0.979057592,0.978987373
101,40,0.001,64,0.997069478,0.015582972,0.980651021,0.177657962,0.981204646,0.980651036,0.980587722
101,40,0.001,128,0.996543169,0.013619089,0.986854076,0.084633686,0.987038308,0.986854086,0.986833938
101,40,0.001,256,0.996642709,0.011092202,0.98469156,0.076972395,0.98492379,0.984634646,0.984654914
101,40,0.0001,16,0.999302924,0.002281595,0.986171186,0.064019606,0.98629654,0.986171181,0.986183135
101,40,0.0001,32,0.999089539,0.002907668,0.987480104,0.057602037,0.987700423,0.987480082,0.987501877
101,40,0.0001,64,0.998648524,0.005054699,0.982642829,0.067391969,0.98288437,0.982642841,0.982637513
101,40,0.0001,128,1,0.000268274,0.989130437,0.039629206,0.989154008,0.989130435,0.989121656
101,40,0.0001,256,1,0.000816072,0.988390625,0.038032345,0.988422977,0.988390621,0.988380042
101,40,1.00E-07,16,0.846148372,0.834332585,0.834509432,0.849954307,0.832947295,0.834509447,0.83203027
101,40,1.00E-07,32,0.773383617,1.24619174,0.766844988,1.248520136,0.764778575,0.766844981,0.762746153
101,40,1.00E-07,64,0.63685894,1.927963614,0.633963108,1.929496765,0.624175224,0.633963123,0.620109732
101,40,1.00E-07,128,0.4255068,2.491029263,0.428807199,2.477195501,0.426158969,0.428807193,0.413364621
101,40,1.00E-07,256,0.228679135,3.043217182,0.232585937,3.032774687,0.247122033,0.232529023,0.200719738
152,40,0.1,16,0.025890889,3.673843622,0.02532438,3.675237656,0.000641324,0.02532438,0.001250968
152,40,0.1,32,0.026787112,3.662553072,0.027202368,3.663932323,0.02862219,0.027202367,0.001548469
152,40,0.1,64,0.051838681,3.542807102,0.05332347,3.546403408,0.0273027,0.053323469,0.027182433
152,40,0.1,128,0.05314745,3.532471418,0.054063283,3.536296606,0.027300047,0.054063282,0.027597104
152,40,0.1,256,0.08088769,3.408478498,0.079956748,3.410859585,0.055862571,0.079956749,0.055491393
152,40,0.001,16,0.997069478,0.025377039,0.985374451,0.250697553,0.985541684,0.985374459,0.985401724
152,40,0.001,32,0.997254431,0.017869905,0.985317528,0.187886536,0.985566943,0.985317551,0.985309474
152,40,0.001,64,0.996585846,0.018853091,0.985374451,0.119546853,0.985522763,0.985374459,0.985360842
152,40,0.001,128,0.999345601,0.002654529,0.988561332,0.065550968,0.988667638,0.988561348,0.988527906
152,40,0.001,256,0.998264432,0.005072075,0.986910999,0.07018137,0.987017663,0.986910995,0.986918588
152,40,0.0001,16,0.999246061,0.003230189,0.98895973,0.054324113,0.989024426,0.988959709,0.988948796
152,40,0.0001,32,0.999971569,0.000184203,0.989301145,0.044359807,0.989365656,0.989301161,0.989294084
152,40,0.0001,64,0.999089539,0.003435251,0.988788962,0.044962127,0.988863308,0.988788982,0.988782321
152,10,0.1,16,0.026516821,3.674314976,0.026804006,3.664481163,0.027178002,0.026804006,0.001507192
152,10,0.1,32,0.026474144,3.662811518,0.027259275,3.658402681,0.02788246,0.027259276,0.001661726
152,10,0.1,64,0.027142756,3.654618502,0.028795812,3.66697526,0.027971477,0.028795812,0.00171946
152,10,0.1,128,0.052948289,3.539516211,0.055201456,3.53763628,0.054430154,0.055201457,0.030197914
152,10,0.1,256,0.249619454,2.520278931,0.227521062,2.550119162,0.242165392,0.227521056,0.196573867
152,10,0.001,16,0.989117265,0.047180381,0.978716135,0.112141892,0.979383587,0.978716139,0.978799109
152,10,0.001,32,0.991606772,0.029382786,0.982756674,0.078114055,0.983221815,0.982756658,0.982821979
152,10,0.001,64,0.992588401,0.022761082,0.980878651,0.082824655,0.981440298,0.980878671,0.980883462
152,10,0.001,128,0.992901325,0.021806059,0.97928524,0.091177419,0.980352902,0.979228318,0.97913755
152,10,0.001,256,0.994736493,0.017297804,0.979968131,0.067088448,0.980623967,0.979968131,0.980016251
152,10,0.0001,16,0.997823477,0.007602118,0.97387892,0.09259817,0.976729176,0.973878898,0.973692972
152,10,0.0001,32,0.998307109,0.007897878,0.987707734,0.039391339,0.987765877,0.987707717,0.987705281
152,10,0.0001,64,0.998093724,0.011494312,0.986341894,0.041442253,0.986375946,0.986341908,0.986329459
152,10,0.0001,128,0.997282863,0.019008197,0.984634638,0.046574745,0.984753418,0.984634646,0.984637742
152,10,0.0001,256,0.994380832,0.032967214,0.983496487,0.057884891,0.983807615,0.983382654,0.983408916
152,10,1.00E-07,16,0.402318805,2.551025152,0.423059404,2.502786636,0.418087736,0.423059413,0.399910701
152,10,1.00E-07,32,0.221523583,3.023776293,0.235374466,2.985922337,0.241529861,0.235374459,0.212542981
152,10,1.00E-07,64,0.145245045,3.264154911,0.154962435,3.235223055,0.15153072,0.15496244,0.137679254
152,10,1.00E-07,128,0.07661996,3.604459047,0.078135669,3.581320286,0.054965713,0.078078762,0.053705996
152,10,1.00E-07,256,0.032790385,3.777463675,0.033462327,3.760687828,0.042861937,0.033462326,0.027077352
152,25,0.1,16,0.026630629,3.673729897,0.026007283,3.663420439,0.000676379,0.026007284,0.001318468
152,25,0.1,32,0.044057187,3.590736866,0.045982245,3.587589264,0.027293159,0.045982244,0.022619571
152,25,0.1,64,0.027085852,3.655355215,0.027885271,3.650105715,0.000777633,0.027885272,0.001513071
152,25,0.1,128,0.054029446,3.528330088,0.053608011,3.527545214,0.027232027,0.053608013,0.027845114
152,25,0.1,256,0.051867131,3.534917355,0.049908947,3.537316799,0.05501417,0.049908946,0.027104205
152,25,0.001,16,0.995092094,0.030667758,0.981333911,0.23333402,0.982036928,0.98133394,0.981401412
152,25,0.001,32,0.995533109,0.020367442,0.980992496,0.155627757,0.981612535,0.980992488,0.980940015
152,25,0.001,64,0.996656954,0.01318309,0.982927382,0.116299696,0.983240466,0.982927384,0.98293373
152,25,0.001,128,0.996913016,0.010084167,0.981390834,0.098755136,0.981930939,0.981390849,0.981280184
152,25,0.001,256,0.998748124,0.003773449,0.987081707,0.051658332,0.987179924,0.987081721,0.987061967
152,25,0.0001,16,0.999331415,0.002507301,0.987536967,0.053587016,0.98766396,0.987536991,0.987505385
152,25,0.0001,32,0.999075353,0.003073364,0.988390625,0.042733833,0.988461444,0.988390621,0.988390193
152,25,0.0001,64,0.999075353,0.003452066,0.989244223,0.037368357,0.989232608,0.989244252,0.989228719
152,25,0.0001,128,0.999871969,0.001697274,0.987992287,0.039773542,0.988204422,0.98799226,0.987969046
152,25,0.0001,256,0.999857724,0.005041424,0.988219917,0.03817226,0.98826181,0.988162987,0.988146241
152,25,1.00E-07,16,0.738985717,1.453918695,0.735033035,1.445041656,0.730801499,0.735033007,0.726942254
152,25,1.00E-07,32,0.614794791,1.974628091,0.621329367,1.960016012,0.618249217,0.621329388,0.608153395
152,25,1.00E-07,64,0.427228123,2.539432287,0.434498072,2.519697905,0.418683312,0.434498065,0.406243352
152,25,1.00E-07,128,0.264556497,2.974562645,0.268666059,2.964960575,0.276134057,0.268779877,0.243742261
152,25,1.00E-07,256,0.132342279,3.383289814,0.130719319,3.377885342,0.119061191,0.130776235,0.099381389
152,40,0.0001,128,1,0.000275714,0.989756405,0.037994694,0.989813981,0.989756431,0.989738657
152,40,0.0001,256,1,0.000823421,0.988845885,0.036633939,0.988894909,0.988845891,0.988826242
152,40,1.00E-07,16,0.831638098,0.924193382,0.826826751,0.928940594,0.824265751,0.82682677,0.823752099
152,40,1.00E-07,32,0.755957067,1.342002511,0.7544958,1.336313128,0.749702238,0.754495789,0.748790148
152,40,1.00E-07,64,0.630286634,1.91807425,0.629865706,1.917063594,0.621346428,0.629865695,0.617128798
152,40,1.00E-07,128,0.404865205,2.574235439,0.40877533,2.56558919,0.396049802,0.408775324,0.378235917
152,40,1.00E-07,256,0.25818336,2.963567972,0.2610403,2.95586133,0.243255138,0.261040291,0.2357485
152,50,0.1,16,0.026915144,3.674182653,0.025950376,3.681644917,0.000673422,0.025950376,0.001312777
152,50,0.1,32,0.038594496,3.615763187,0.036819942,3.628390074,0.027137534,0.036819941,0.016839216
152,50,0.1,64,0.02779714,3.655088663,0.027430002,3.656728506,0.027208813,0.027430002,0.001679488
152,50,0.1,128,0.051995162,3.542332172,0.050534941,3.543871403,0.050534133,0.050534942,0.027219536
152,50,0.1,256,0.053104773,3.524315119,0.053892557,3.523638964,0.02724497,0.053892556,0.02789861
152,50,0.001,16,0.997425139,0.024482356,0.982529044,0.355795652,0.982800301,0.982529023,0.982486403
152,50,0.001,32,0.997652769,0.017389609,0.987423182,0.189261675,0.987516285,0.987423173,0.987406609
152,50,0.001,64,0.998051047,0.010081814,0.987707734,0.120530829,0.987767984,0.987707717,0.987703522
152,50,0.001,128,0.998975754,0.004537161,0.985659003,0.102499969,0.985972564,0.985659003,0.985618129
152,50,0.001,256,0.997766554,0.007566546,0.985602081,0.088666052,0.985767955,0.985602094,0.985565029
152,50,0.0001,16,0.999487877,0.001963608,0.985431373,0.081173554,0.986108141,0.985431368,0.985490152
152,50,0.0001,32,0.999943078,0.000273097,0.989756405,0.050362352,0.989833587,0.989756431,0.989742288
152,50,0.0001,64,0.999914646,0.000344364,0.989927173,0.041182578,0.989955968,0.989927157,0.989926395
152,50,0.0001,128,1,0.000193565,0.990382433,0.040225338,0.990435855,0.990382427,0.990365242
152,50,0.0001,256,1,0.00032522,0.989301145,0.037094813,0.989380916,0.989301161,0.989289096
152,50,1.00E-07,16,0.857500553,0.742295742,0.852264941,0.750674844,0.84981738,0.852264967,0.849739453
152,50,1.00E-07,32,0.802532196,1.072939754,0.801559269,1.073733449,0.796858589,0.801559299,0.796693518
152,50,1.00E-07,64,0.69155699,1.632887721,0.690701127,1.630317688,0.686772177,0.690701115,0.683087115
152,50,1.00E-07,128,0.525741518,2.251626968,0.526690185,2.246693134,0.517498475,0.526690189,0.509386633
152,50,1.00E-07,256,0.306138426,2.862603426,0.312087417,2.855743408,0.291813677,0.312087412,0.279871234
101,50,0.1,16,0.028295042,3.674073935,0.026860915,3.664735079,0.000721509,0.026860915,0.001405271
101,50,0.1,32,0.026232306,3.66418004,0.027942181,3.667073727,0.027240187,0.027942181,0.001626644
101,50,0.1,64,0.027114304,3.653737783,0.027828364,3.651798725,0.050557102,0.027828363,0.00193581
101,50,0.1,128,0.053047869,3.531814814,0.052299112,3.53477335,0.052030645,0.052299112,0.027345939
101,50,0.1,256,0.026417242,3.644512415,0.029137263,3.645721912,0.053637544,0.029137264,0.002394102
101,50,0.001,16,0.997154832,0.028149471,0.982927382,0.324823827,0.983150015,0.982927384,0.982919522
101,50,0.001,32,0.997240186,0.019119004,0.983667195,0.226138189,0.983955636,0.983667198,0.983650583
101,50,0.001,64,0.998221755,0.009090241,0.985203743,0.16562365,0.985601587,0.985203733,0.985196104
101,50,0.001,128,0.9983356,0.007478569,0.986683369,0.109629862,0.98691054,0.98668336,0.986679961
101,50,0.001,256,0.997638524,0.00869694,0.986740291,0.079692371,0.986861726,0.986740269,0.986734081
101,50,0.0001,16,0.999587476,0.001716803,0.98827678,0.064795747,0.988369837,0.988276804,0.988266409
101,50,0.0001,32,1,5.86E-05,0.988788962,0.051664948,0.988825005,0.988788982,0.988780248
101,50,0.0001,64,1,8.71E-05,0.98827678,0.050647628,0.988327476,0.988276804,0.988256863
101,50,0.0001,128,1,0.000126574,0.988788962,0.042819563,0.9888386,0.988788982,0.988785098
101,50,0.0001,256,1,0.000412224,0.988561332,0.040707096,0.988687761,0.988561348,0.988566541
101,50,1.00E-07,16,0.866007566,0.692760706,0.861541092,0.700536072,0.859901792,0.861541088,0.859748724
101,50,1.00E-07,32,0.80872041,1.030243993,0.80269748,1.041726351,0.79954464,0.802697473,0.79901179
101,50,1.00E-07,64,0.719140768,1.580828786,0.714659691,1.579320908,0.710937233,0.714659686,0.707008745
101,50,1e-07,128,0.5295398235321045,2.2736706733703613,0.5311859846115112,2.268906831741333,0.5272446132843426,0.5311859776917823,0.5162564090523538
101,50,1e-07,256,0.2946866750717163,2.8701424598693848,0.29990893602371216,2.867184877,0.29813133642858247,0.2999089460505349,0.2765682354194039